Topic0: 0(UNK_0.4676724137931034) 129(monitor_0.158764367816092) 116(apple_0.07255747126436782) 50(color_0.029454022988505746) 97(problem_0.029454022988505746) 37(test_0.02227011494252874) 126(drive_0.015086206896551727) 5(question_0.007902298850574713) 7(faq_0.007902298850574713) 17(system_0.007902298850574713) 22(info_0.007902298850574713) 57(mike_0.007902298850574713) 66(lot_0.007902298850574713) 76(mac_0.007902298850574713) 94(printer_0.007902298850574713) 98(video_0.007902298850574713) 108(sale_0.007902298850574713) 109(email_0.007902298850574713) 143(keyboard_0.007902298850574713) 146(mouse_0.007902298850574713) 
Topic1: 0(UNK_0.47860199714693297) 41(gif_0.08630527817403709) 96(files_0.050641940085592016) 142(make_0.03637660485021398) 1(writes_0.022111269614835952) 9(article_0.022111269614835952) 10(apr_0.022111269614835952) 54(subject_0.022111269614835952) 87(works_0.022111269614835952) 11(long_0.014978601997146936) 28(wanted_0.014978601997146936) 5(question_0.007845934379457919) 21(free_0.007845934379457919) 24(ftp_0.007845934379457919) 27(package_0.007845934379457919) 38(card_0.007845934379457919) 62(unix_0.007845934379457919) 63(advance_0.007845934379457919) 64(dave_0.007845934379457919) 67(version_0.007845934379457919) 
Topic2: 0(UNK_0.46519721577726225) 56(love_0.08236658932714618) 156(daily_0.08236658932714618) 159(verse_0.08236658932714618) 12(god_0.05916473317865429) 64(dave_0.024361948955916476) 23(great_0.012761020881670537) 49(source_0.012761020881670537) 1(writes_0.0011600928074245941) 2(people_0.0011600928074245941) 3(questions_0.0011600928074245941) 4(answer_0.0011600928074245941) 5(question_0.0011600928074245941) 6(post_0.0011600928074245941) 7(faq_0.0011600928074245941) 8(good_0.0011600928074245941) 9(article_0.0011600928074245941) 10(apr_0.0011600928074245941) 11(long_0.0011600928074245941) 13(back_0.0011600928074245941) 
Topic3: 0(UNK_0.3972922502334267) 126(drive_0.10317460317460318) 120(hard_0.07049486461251167) 127(scsi_0.04715219421101774) 31(mail_0.042483660130718956) 153(forsale_0.03314659197012138) 29(interested_0.01914098972922502) 110(brand_0.01914098972922502) 114(shipping_0.01914098972922502) 151(meg_0.01914098972922502) 71(time_0.014472455648926238) 89(access_0.014472455648926238) 103(reply_0.009803921568627453) 108(sale_0.009803921568627453) 116(apple_0.009803921568627453) 129(monitor_0.009803921568627453) 148(years_0.009803921568627453) 19(give_0.005135387488328666) 23(great_0.005135387488328666) 28(wanted_0.005135387488328666) 
Topic4: 0(UNK_0.799524221453287) 114(shipping_0.007280853517877738) 88(work_0.00655997693194925) 13(back_0.005118223760092272) 73(university_0.005118223760092272) 109(email_0.005118223760092272) 76(mac_0.004397347174163783) 31(mail_0.0036764705882352936) 49(source_0.0036764705882352936) 103(reply_0.0036764705882352936) 1(writes_0.0029555940023068047) 22(info_0.0029555940023068047) 28(wanted_0.0029555940023068047) 47(file_0.0029555940023068047) 50(color_0.0029555940023068047) 70(run_0.0029555940023068047) 75(windows_0.0029555940023068047) 94(printer_0.0029555940023068047) 108(sale_0.0029555940023068047) 155(car_0.0029555940023068047) 
Topic5: 0(UNK_0.7592611439039283) 10(apr_0.012263382861795237) 12(god_0.012263382861795237) 1(writes_0.009719112558518218) 157(baseball_0.009719112558518218) 9(article_0.00870140443720741) 57(mike_0.006665988194585792) 108(sale_0.006665988194585792) 113(things_0.006157134133930388) 76(mac_0.004630571951964177) 8(good_0.004121717891308772) 31(mail_0.004121717891308772) 20(list_0.003612863830653368) 26(graphics_0.0031040097699979643) 28(wanted_0.0031040097699979643) 32(steve_0.0031040097699979643) 55(heard_0.0031040097699979643) 72(bob_0.0031040097699979643) 87(works_0.0031040097699979643) 6(post_0.0025951557093425604) 
Topic6: 0(UNK_0.5388755980861243) 143(keyboard_0.07236842105263157) 109(email_0.03648325358851674) 18(david_0.0305023923444976) 146(mouse_0.02452153110047846) 28(wanted_0.01854066985645933) 40(net_0.01854066985645933) 99(contact_0.01854066985645933) 116(apple_0.01854066985645933) 2(people_0.01255980861244019) 29(interested_0.01255980861244019) 31(mail_0.01255980861244019) 100(address_0.01255980861244019) 135(buy_0.01255980861244019) 4(answer_0.006578947368421052) 5(question_0.006578947368421052) 6(post_0.006578947368421052) 17(system_0.006578947368421052) 34(set_0.006578947368421052) 45(standard_0.006578947368421052) 
Topic7: 0(UNK_0.4500624219725343) 154(games_0.09425717852684146) 108(sale_0.0568039950062422) 68(ibm_0.025593008739076155) 126(drive_0.025593008739076155) 158(stats_0.025593008739076155) 27(package_0.01935081148564295) 29(interested_0.01935081148564295) 35(game_0.01935081148564295) 37(test_0.01935081148564295) 142(make_0.01935081148564295) 147(offer_0.01935081148564295) 36(message_0.013108614232209739) 45(standard_0.013108614232209739) 75(windows_0.013108614232209739) 109(email_0.013108614232209739) 8(good_0.0068664169787765305) 28(wanted_0.0068664169787765305) 53(information_0.0068664169787765305) 66(lot_0.0068664169787765305) 
Topic8: 0(UNK_0.48573466476462185) 60(bit_0.1005706134094151) 61(support_0.057774607703281015) 74(sun_0.036376604850213975) 62(unix_0.02211126961483595) 26(graphics_0.014978601997146932) 30(program_0.014978601997146932) 63(advance_0.014978601997146932) 78(copy_0.014978601997146932) 84(board_0.014978601997146932) 89(access_0.014978601997146932) 1(writes_0.007845934379457917) 9(article_0.007845934379457917) 10(apr_0.007845934379457917) 46(image_0.007845934379457917) 59(vesa_0.007845934379457917) 70(run_0.007845934379457917) 75(windows_0.007845934379457917) 96(files_0.007845934379457917) 102(mark_0.007845934379457917) 
Topic9: 0(UNK_0.7579202512631433) 53(information_0.016420865765396694) 22(info_0.012324184077563837) 35(game_0.008227502389730983) 28(wanted_0.006861941827120032) 92(appreciated_0.006179161545814556) 31(mail_0.005837771405161819) 26(graphics_0.005496381264509081) 63(advance_0.005496381264509081) 91(greatly_0.005496381264509081) 6(post_0.004813600983203605) 29(interested_0.0041308207018981285) 138(case_0.0041308207018981285) 1(writes_0.0037894305612453903) 9(article_0.0037894305612453903) 90(needed_0.0034480404205926526) 8(good_0.0031066502799399144) 30(program_0.0031066502799399144) 52(point_0.0031066502799399144) 54(subject_0.002765260139287177) 
Topic10: 0(UNK_0.356175972927242) 41(gif_0.060067681895093074) 93(send_0.060067681895093074) 63(advance_0.05160744500846025) 136(eric_0.043147208121827416) 118(dan_0.03468697123519459) 9(article_0.026226734348561768) 38(card_0.026226734348561768) 51(wondering_0.026226734348561768) 57(mike_0.026226734348561768) 79(kind_0.026226734348561768) 1(writes_0.01776649746192894) 100(address_0.01776649746192894) 109(email_0.01776649746192894) 155(car_0.01776649746192894) 16(find_0.009306260575296111) 22(info_0.009306260575296111) 31(mail_0.009306260575296111) 81(group_0.009306260575296111) 103(reply_0.009306260575296111) 
